Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-50.58%,-32.37%,155.95%
,ebitda margin growth,1.6%,-4.82%,-6.42%,7.28%
,net income growth,-6.45%,6.71%,11%,21%
,revenue growth,-2.07%,7%,19%,16%
,roce,2.67%,-8.84%,-5.47%,5.71%
,roe,-6.45%,-7.93%,11.82%,8.56%
