Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1217,1054,1315,1405,1320,1411,1150,988,1779,1493,1750,1301
Expenses,579,544,526,590,506,555,532,467,759,635,801,567
Operating Profit,638,509,789,815,814,856,618,520,1020,857,949,734
OPM %,52,48,60,58,62,61,54,53,57,57,54,56
Other Income,28,31,247,39,41,52,63,93,77,55,74,65
Interest,56,50,50,59,52,75,80,75,71,67,27,52
Depreciation,11,11,14,20,21,23,24,32,33,33,33,35
Profit before tax,599,479,971,775,782,810,577,507,993,813,963,712
Tax %,24,25,19,25,25,24,25,17,23,23,27,24
Net Profit,457,360,788,585,589,618,433,421,760,623,703,544
EPS in Rs,12.56,9.91,21.67,16.08,16.21,17.01,11.91,11.59,20.91,17.12,19.34,14.95
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1265,2582,2238,2053,2694,4193,4496,5286,6009,6322,,
Expenses,589,1427,1189,1052,1512,2081,2066,2183,2650,2761,,
Operating Profit,676,1156,1048,1001,1182,2112,2430,3103,3359,3561,,
OPM %,53,45,47,49,44,50,54,59,56,56,,
Other Income,29,86,54,41,297,321,312,196,288,272,,
Interest,7,19,88,76,86,169,218,265,241,218,,
Depreciation,49,44,45,41,40,40,48,88,131,134,,
Profit before tax,650,1178,969,924,1354,2224,2476,2945,3276,3480,,
Tax %,29,31,29,20,23,14,22,24,23,—,,
Net Profit,459,817,689,739,1047,1905,1927,2226,2507,2630,,
EPS in Rs,13.51,22.47,18.96,20.33,28.8,52.38,52.99,61.21,68.96,72.32,,
Dividend Payout %,15,9,0,0,10,8,15,13,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,340,340,364,364,364,364,364,364,364,364,,
Reserves,5386,5753,7666,8266,9006,10053,11847,13481,15341,17558,,
Borrowings,869,1694,1586,1519,1534,2855,3944,2495,3300,2825,,
Other Liabilities,1865,2401,1483,1045,1116,2394,2471,3293,3710,4580,,
Total Liabilities,8459,10188,11098,11193,12019,15666,18626,19633,22715,25327,,
Fixed Assets,945,976,1062,1046,1014,980,949,3053,4685,4700,,
CWIP,110,113,126,305,1980,3298,4031,2705,1604,1752,,
Investments,1824,2420,2938,2406,1620,2679,703,818,2535,1737,,
Other Assets,5581,6679,6972,7435,7406,8709,12943,13057,13891,17138,,
Total Assets,8459,10188,11098,11193,12019,15666,18626,19633,22715,25327,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,174,-202,146,-282,696,1069,-2383,2816,2163,1380,,
Cash from Investing Activity,-559,-592,-646,358,-591,-1390,1739,-644,-2392,-463,,
Cash from Financing Activity,335,651,839,-309,-116,1142,709,-2034,200,-1009,,
Net Cash Flow,-50,-143,339,-233,-11,821,64,138,-29,-92,,
Free Cash Flow,98,-279,-25,-508,-628,-137,-2985,2140,1472,746,,
CFO/OP,62,1,41,-6,90,115,-90,135,91,65,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,35,52,15,19,23,17,96,17,8,20,,
Inventory Days,—,—,—,—,6239,—,—,—,—,—,,
Days Payable,—,—,—,—,402,—,—,—,—,—,,
Cash Conversion Cycle,35,52,15,19,5860,17,96,17,8,20,,
Working Capital Days,1010,866,553,687,789,662,729,668,596,605,,
ROCE %,9,9,13,11,9,12,16,15,18,17,,
