Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,107391,112868,117469,118242,121045,124654,126840,125729,128040,130386,131080,136240
Expenses,59365,62635,65418,53996,62709,64890,74438,59496,72265,76799,75050,64930
Financing Profit,-14930,-17858,-18593,-7455,-15283,-17634,-25825,-12034,-22227,-25196,-23923,-10938
Financing Margin %,-14,-16,-16,-6,-13,-14,-20,-10,-17,-19,-18,-8
Other Income,36865,33103,47445,33883,42758,43200,52722,41263,50884,55262,49999,43821
Interest,62955,68092,70644,71701,73619,77397,78227,78266,78002,78783,79953,82248
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,21936,15245,28852,26428,27474,25566,26897,29229,28657,30067,26076,32884
Tax %,25,26,25,26,26,25,26,26,25,27,23,25
Net Profit,16648,11598,22203,20094,20565,19484,20379,22121,21861,22176,20508,25121
EPS in Rs,18.04,12.4,23.96,21.65,22.17,21.12,21.96,23.76,22.9,23.09,21.28,26.12
Gross NPA %,2.53,—,—,—,2.13,—,—,—,—,—,—,—
Net NPA %,0.63,—,—,—,0.52,—,—,—,—,—,—,—
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,228970,253322,269852,278115,289973,350845,439189,490313,514933,525747,,
Expenses,169065,166104,172909,192821,197349,204303,239750,252043,278781,289045,,
Financing Profit,-86697,-68649,-64181,-70715,-63570,-43439,-60297,-62674,-78853,-82284,,
Financing Margin %,-38,-27,-24,-25,-22,-12,-14,-13,-15,-16,,
Other Income,77557,77365,98159,107222,117000,122534,155386,173031,197711,199967,,
Interest,146603,155867,161124,156010,156194,189981,259736,300943,315005,318986,,
Depreciation,3105,3496,3662,3711,3691,3696,3849,3991,4830,0,,
Profit before tax,-12245,5220,30317,32796,49739,75399,91240,106365,114028,117683,,
Tax %,-66,41,40,26,27,25,25,26,25,—,,
Net Profit,-3749,3351,21140,23888,37183,57750,69543,80523,86666,89665,,
EPS in Rs,-5.11,2.58,22.15,25.11,39.64,62.35,75.17,86.91,90.24,93.39,,
Dividend Payout %,0,0,0,16,18,18,18,18,19,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,797,892,892,892,892,892,892,892,892,923,,
Reserves,216395,229429,233603,250168,274669,304696,358039,414047,486144,595208,,
Borrowing,336366,369079,413748,332901,433796,449160,521152,639610,610857,777302,,
Deposits,2599811,2722178,2940541,3274161,3715331,4087411,4468536,4966537,5439898,6043097,,
Other Liabilities,288391,294860,299676,339364,420926,518719,605796,712669,775938,904646,,
Total Liabilities,3441760,3616439,3888460,4197486,4845615,5360878,5954415,6733756,7313730,8321176,,
Fixed Assets,51189,42035,39941,39608,41600,41032,45880,46072,47716,59772,,
CWIP,695,925,762,470,116,28,66,42,41,78,,
Investments,1027281,1183794,1119270,1228284,1595100,1776490,1913108,2110548,2205601,2359502,,
Other Assets,2362594,2389685,2728487,2929123,3208798,3543328,3995361,4577093,5060371,5901824,,
Total Assets,3441760,3616439,3888460,4197486,4845615,5360878,5954415,6733756,7313730,8321176,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,77406,-96508,29556,23929,89919,57695,-86014,21632,45484,38097,,
Cash from Investing Activity,-4572,13053,220,-555,-3670,-2652,-966,-3476,-3387,9240,,
Cash from Financing Activity,-4196,5547,448,5430,7143,-3845,6386,-9896,-10737,-3427,,
Net Cash Flow,68638,-77908,30223,28803,93392,51198,-80593,8260,31361,43910,,
Free Cash Flow,72982,-89906,26550,20864,86091,54644,-86014,17457,39847,29734,,
CFO/OP,93,-148,43,40,110,72,-47,27,33,32,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,0,-2,1,7,9,12,17,17,17,15,,
